Total;13.770.793;13.991.127;14.206.429;14.414.046;14.613.776;14.809.841;15.001.623;15.185.799;15.365.623;15.543.565;15.715.924;15.882.092;16.041.612;16.198.348;16.356.738;16.516.863;16.682.228;16.855.484;17.030.393;17.204.567;17.380.597;17.559.507;17.749.360;17.954.875;18.190.964;18.460.529;18.754.494;19.040.037;19.235.540;19.391.613;19.581.575;19.756.365;19.904.328;20.036.669;20.150.948;20.252.145;20.342.246;20.421.403;20.489.812;20.546.653;20.590.711;20.621.533;20.639.005;20.643.490;20.635.825;20.617.132;20.588.655;20.551.753;20.508.117;20.459.180;20.405.521;20.347.272;20.284.551;20.217.414;20.145.968;20.070.235;19.990.194;19.905.775;19.816.858;19.723.225;19.624.629;19.520.801;19.411.448;19.296.388;19.175.470;19.048.653;18.916.047;18.777.806;18.634.210;18.485.577;18.332.247;18.174.541;18.012.787;17.847.299;17.678.364;17.506.235;17.331.111;17.153.173;16.972.558
44;72.333;76.423;77.924;79.649;83.225;88.125;91.132;93.034;96.347;100.558;105.619;110.226;113.901;116.678;118.781;120.855;122.271;122.669;122.689;122.426;121.568;120.229;120.284;122.346;125.882;129.635;130.739;128.775;126.271;124.266;124.666;128.695;135.299;141.807;144.724;144.320;143.559;145.212;149.000;155.020;162.823;170.341;174.670;174.604;172.562;170.528;168.744;165.511;162.471;160.079;156.907;153.254;150.532;148.172;144.466;141.173;138.350;137.196;137.367;138990;142121;144577;145207;144015;142044;140282;142023;142367;136921;129830;126479;123190;115648;106609;103801;101910;92521;83786;78310
45;67.942;72.131;76.211;77.719;79.434;82.999;87.910;90.914;92.789;96.098;100.322;105.382;109.987;113.676;116.444;118.531;120.606;122.046;122.471;122.509;122.273;121.447;120.166;120.307;122.543;126.257;130.121;131.201;128.919;126.333;124.512;124.880;128.864;135.463;141.942;144.838;144.420;143.646;145.281;149.043;155.030;162.794;170.274;174.570;174.482;172.423;170.376;168.584;165.351;162.318;159.932;156.768;153.124;150.408;148.055;144.357;141.071;138.255;137.105;137279;138902;142031;144485;145117;143930;141964;140207;141949;142296;136858;129778;126433;123150;115618;106591;103788;101901;92523;83798
46;66.376;67.724;71.892;75.943;77.454;79.202;82.773;87.682;90.668;92.518;95.835;100.060;105.116;109.733;113.440;116.193;118.228;120.287;121.757;122.231;122.298;122.094;121.318;120.128;120.461;122.871;126.676;130.523;131.298;128.894;126.474;124.660;125.014;129.006;135.573;142.023;144.899;144.468;143.682;145.297;149.033;154.986;162.712;170.155;174.422;174.316;172.247;170.194;168.402;165.176;162.152;159.773;156.617;152.982;150.274;147.927;144.237;140.960;138.150;137005;137181;138805;141932;144386;145020;143838;141877;140125;141867;142217;136789;129719;126381;123104;115583;106568;103770;101887;92521
47;65.423;66.157;67.474;71.608;75.677;77.208;78.969;82.544;87.439;90.409;92.262;95.595;99.814;104.841;109.461;113.163;115.889;117.933;119.994;121.471;121.995;122.104;121.923;121.210;120.203;120.736;123.217;126.974;130.543;131.233;128.993;126.570;124.760;125.129;129.089;135.626;142.047;144.904;144.462;143.664;145.258;148.966;154.886;162.576;169.985;174.228;174.109;172.036;169.984;168.198;164.982;161.967;159.596;156.450;152.824;150.124;147.784;144.104;140.835;138033;136892;137071;138695;141821;144274;144910;143734;141779;140031;141775;142127;136709;129651;126319;123049;115539;106537;103745;101866
48;63.843;65.189;65.902;67.195;71.316;75.403;76.965;78.723;82.283;87.170;90.147;91.999;95.316;99.530;104.569;109.185;112.867;115.576;117.603;119.687;121.206;121.742;121.891;121.795;121.240;120.423;121.055;123.485;126.953;130.422;131.253;129.035;126.602;124.807;125.178;129.115;135.622;142.015;144.854;144.402;143.590;145.163;148.844;154.733;162.389;169.767;173.990;173.865;171.794;169.750;167.971;164.767;161.762;159.400;156.263;152.647;149.956;147.625;143.954;140694;137900;136765;136946;138571;141696;144148;144787;143616;141667;139925;141670;142025;136617;129572;126247;122983;115486;106497;103710
49;62.055;63.590;64.907;65.589;66.865;71.012;75.134;76.690;78.434;82.006;86.865;89.841;91.707;95.016;99.242;104.255;108.866;112.527;115.207;117.281;119.397;120.900;121.463;121.692;121.746;121.357;120.631;121.257;123.444;126.774;130.351;131.219;129.013;126.601;124.803;125.163;129.079;135.558;141.925;144.747;144.282;143.457;145.010;148.666;154.526;162.151;169.502;173.710;173.585;171.523;169.489;167.719;164.526;161.532;159.179;156.053;152.449;149.767;147.444;143784;140534;137749;136619;136804;138430;141553;144005;144647;143482;141540;139804;141549;141907;136511;129478;126162;122905;115420;106446
50;59.618;61.767;63.307;64.572;65.254;66.542;70.704;74.841;76.393;78.142;81.698;86.533;89.524;91.418;94.724;98.919;103.886;108.479;112.150;114.849;116.941;119.064;120.602;121.196;121.546;121.796;121.509;120.759;121.155;123.207;126.647;130.282;131.147;128.949;126.536;124.735;125.086;128.981;135.434;141.775;144.577;144.101;143.264;144.799;148.432;154.266;161.865;169.193;173.392;173.272;171.221;169.197;167.437;164.257;161.274;158.932;155.817;152.226;149.555;147240;143592;140353;137577;136453;136642;138268;141390;143842;144487;143328;141393;139664;141410;141771;136387;129368;126060;122811;115340
51;57.048;59.307;61.440;62.942;64.178;64.873;66.206;70.391;74.527;76.043;77.785;81.359;86.161;89.164;91.095;94.378;98.549;103.500;108.079;111.758;114.468;116.581;118.720;120.303;121.012;121.483;121.829;121.546;120.572;120.854;123.001;126.487;130.139;131.010;128.823;126.412;124.611;124.954;128.831;135.257;141.569;144.352;143.866;143.020;144.540;148.154;153.965;161.541;168.852;173.045;172.932;170.893;168.880;167.131;163.964;160.994;158.662;155.560;151.982;149321;147016;143381;140152;137386;136270;136462;138089;141209;143661;144309;143156;141228;139506;141254;141618;136246;129242;125942;122701
52;54.732;56.715;58.968;61.087;62.562;63.786;64.516;65.869;70.037;74.151;75.681;77.441;80.993;85.785;88.798;90.704;93.959;98.128;103.083;107.689;111.381;114.056;116.167;118.350;120.036;120.886;121.459;121.795;121.313;120.232;120.632;122.819;126.312;129.985;130.827;128.643;126.237;124.437;124.775;128.634;135.030;141.313;144.078;143.583;142.730;144.238;147.837;153.630;161.187;168.484;172.672;172.567;170.540;168.539;166.800;163.647;160.690;158.370;155.282;151717;149067;146773;143150;139934;137179;136069;136265;137893;141011;143463;144114;142967;141048;139333;141082;141449;136090;129102;125811
53;51.779;54.381;56.319;58.545;60.649;62.140;63.397;64.143;65.486;69.637;73.759;75.294;77.057;80.628;85.394;88.394;90.289;93.527;97.661;102.612;107.248;110.937;113.634;115.752;118.022;119.834;120.755;121.338;121.480;120.854;119.891;120.389;122.596;126.095;129.745;130.582;128.404;126.003;124.208;124.541;128.380;134.746;140.999;143.747;143.247;142.390;143.890;147.477;153.255;160.795;168.078;172.262;172.165;170.151;168.163;166.436;163.298;160.356;158.048;154974;151424;148786;146503;142895;139691;136947;135844;136045;137674;140790;143242;143896;142757;140845;139138;140888;141259;135914;128942
54;48.793;51.420;53.969;55.884;58.113;60.225;61.713;62.966;63.719;65.052;69.196;73.315;74.858;76.653;80.239;84.960;87.904;89.793;93.059;97.202;102.141;106.757;110.459;113.201;115.385;117.748;119.630;120.548;120.920;120.959;120.478;119.614;120.130;122.321;125.804;129.437;130.270;128.099;125.708;123.919;124.246;128.064;134.401;140.625;143.357;142.855;142.000;143.495;147.074;152.839;160.362;167.631;171.811;171.722;169.722;167.748;166.034;162.913;159.986;157692;154633;151099;148474;146203;142610;139419;136688;135593;135799;137429;140543;142995;143652;142520;140618;138919;140669;141044;135714
55;46.756;48.389;50.996;53.516;55.404;57.642;59.756;61.236;62.510;63.269;64.594;68.735;72.841;74.392;76.206;79.805;84.506;87.404;89.294;92.521;96.633;101.602;106.236;109.963;112.794;115.072;117.471;119.363;120.076;120.313;120.471;120.086;119.251;119.776;121.979;125.446;129.064;129.893;127.734;125.355;123.570;123.892;127.690;133.997;140.193;142.913;142.413;141.563;143.057;146.631;152.384;159.889;167.142;171.317;171.238;169.253;167.294;165.594;162.491;159581;157301;154258;150741;148131;145873;142296;139119;136401;135315;135525;137157;140269;142720;143381;142257;140364;138675;140426;140804
56;45.269;46.354;47.966;50.517;53.002;54.897;57.143;59.256;60.748;62.009;62.779;64.122;68.227;72.344;73.937;75.741;79.329;83.998;86.872;88.780;91.993;96.089;101.051;105.681;109.500;112.399;114.687;117.086;118.824;119.358;119.677;120.016;119.657;118.827;119.372;121.566;125.018;128.621;129.451;127.306;124.938;123.159;123.477;127.256;133.534;139.704;142.414;141.919;141.079;142.576;146.145;151.885;159.372;166.607;170.778;170.709;168.740;166.797;165.112;162028;159136;156871;153846;150348;147752;145509;141949;138788;136084;135007;135223;136856;139965;142416;143081;141966;140083;138403;140155
57;43.932;44.826;45.874;47.487;50.017;52.493;54.391;56.633;58.741;60.217;61.474;62.235;63.581;67.693;71.816;73.438;75.236;78.796;83.416;86.280;88.217;91.416;95.509;100.476;105.160;109.057;112.013;114.290;116.464;118.036;118.686;119.159;119.535;119.172;118.355;118.902;121.090;124.528;128.118;128.949;126.818;124.461;122.691;123.007;126.768;133.017;139.162;141.865;141.379;140.551;142.052;145.616;151.343;158.809;166.027;170.192;170.134;168.183;166.257;164588;161525;158651;156403;153397;149919;147340;145111;141569;138425;135736;134669;134890;136525;139632;142081;142751;141644;139772;138103
58;42.671;43.443;44.350;45.370;46.966;49.511;51.966;53.840;56.091;58.189;59.641;60.898;61.660;63.010;67.123;71.236;72.856;74.655;78.230;82.847;85.713;87.642;90.766;94.845;99.894;104.665;108.598;111.557;113.662;115.649;117.274;118.049;118.575;118.964;118.622;117.818;118.370;120.551;123.977;127.555;128.385;126.267;123.925;122.165;122.481;126.225;132.447;138.568;141.266;140.793;139.980;141.485;145.044;150.756;158.201;165.399;169.558;169.512;167.580;165671;164020;160979;158126;155895;152909;149452;146891;144678;141157;138031;135357;134301;134528;136165;139268;141716;142390;141293;139433
59;42.012;42.181;42.928;43.809;44.816;46.411;48.944;51.380;53.280;55.526;57.589;59.034;60.317;61.104;62.431;66.482;70.596;72.261;74.059;77.610;82.181;85.040;86.989;90.109;94.222;99.327;104.150;108.080;110.869;112.756;114.796;116.589;117.402;117.934;118.331;118.002;117.214;117.771;119.948;123.363;126.924;127.753;125.652;123.326;121.579;121.897;125.626;131.822;137.920;140.615;140.156;139.360;140.868;144.421;150.118;157.540;164.718;168.870;168.836;166925;165036;163402;160385;157554;155343;152378;148943;146401;144205;140705;137598;134942;133897;134131;135769;138868;141316;141994;140908
60;42.004;41.445;41.604;42.323;43.222;44.261;45.828;48.357;50.806;52.663;54.879;56.943;58.399;59.677;60.487;61.805;65.795;69.910;71.595;73.409;76.958;81.501;84.362;86.327;89.473;93.584;98.700;103.572;107.312;109.904;111.850;114.012;115.832;116.646;117.215;117.622;117.308;116.537;117.103;119.277;122.675;126.219;127.049;124.967;122.661;120.931;121.254;124.969;131.140;137.215;139.908;139.464;138.685;140.197;143.744;149.424;156.822;163.977;168.122;168102;166212;164344;162730;159738;156932;154741;151800;148389;145866;143688;140211;137125;134488;133454;133695;135335;138430;140876;141560
61;43.187;41.382;40.831;40.983;41.703;42.637;43.683;45.234;47.747;50.142;51.989;54.202;56.264;57.742;59.007;59.789;61.073;65.069;69.191;70.890;72.742;76.265;80.754;83.605;85.625;88.817;92.928;98.041;102.740;106.305;108.962;110.989;113.156;114.999;115.836;116.417;116.836;116.539;115.789;116.365;118.531;121.913;125.439;126.271;124.211;121.929;120.219;120.549;124.252;130.397;136.449;139.140;138.713;137.951;139.468;143.008;148.670;156.042;163.173;167310;167304;165438;163593;162000;159035;156254;154085;151168;147783;145282;143123;139670;136607;133990;132969;133217;134858;137949;140394
62;42.887;42.452;40.704;40.152;40.301;41.060;42.024;43.067;44.603;47.089;49.478;51.308;53.506;55.592;57.057;58.281;59.022;60.315;64.300;68.419;70.160;72.001;75.494;79.957;82.837;84.937;88.163;92.201;97.080;101.612;105.288;108.079;110.097;112.251;114.108;114.956;115.550;115.982;115.706;114.978;115.560;117.719;121.084;124.594;125.430;123.394;121.139;119.452;119.792;123.484;129.602;135.629;138.318;137.908;137.166;138.688;142.220;147.863;155.206;162312;166441;166449;164609;162788;161216;158279;155525;153379;150488;147131;144653;142515;139088;136048;133452;132444;132700;134342;137429
63;40.504;42.131;41.707;39.977;39.411;39.609;40.403;41.370;42.431;43.952;46.386;48.750;50.591;52.781;54.846;56.268;57.475;58.228;59.503;63.477;67.666;69.403;71.199;74.699;79.150;82.073;84.226;87.413;91.238;95.942;100.555;104.343;107.129;109.137;111.293;113.153;114.014;114.621;115.070;114.815;114.106;114.693;116.845;120.194;123.687;124.528;122.521;120.296;118.634;118.987;122.667;128.757;134.757;137.443;137.051;136.329;137.855;141.380;147.003;154316;161393;165513;165537;163723;161927;160379;157472;154746;152625;149762;146433;143979;141863;138464;135449;132874;131881;132145;133789
64;37.492;39.678;41.323;40.906;39.165;38.658;38.909;39.708;40.697;41.732;43.251;45.671;47.970;49.803;52.013;54.038;55.439;56.664;57.384;58.625;62.637;66.827;68.550;70.366;73.869;78.329;81.283;83.428;86.361;89.981;94.807;99.540;103.351;106.128;108.109;110.264;112.128;113.002;113.626;114.090;113.851;113.162;113.757;115.902;119.234;122.710;123.557;121.582;119.390;117.757;118.123;121.790;127.850;133.822;136.504;136.132;135.430;136.961;140.478;146079;153359;160406;164516;164556;162769;161000;159477;156601;153905;151810;148976;145679;143250;141157;137787;134798;132247;131269;131541
65;33.482;36.636;38.817;40.452;40.026;38.344;37.899;38.176;38.980;39.948;40.959;42.502;44.892;47.147;48.989;51.174;53.171;54.564;55.796;56.519;57.735;61.735;65.917;67.654;69.511;73.051;77.514;80.449;82.433;85.128;88.762;93.717;98.465;102.252;105.022;107.004;109.160;111.028;111.918;112.557;113.033;112.811;112.143;112.746;114.884;118.200;121.659;122.515;120.573;118.418;116.816;117.195;120.848;126.876;132.816;135.494;135.143;134.463;135.999;139505;145082;152327;159342;163441;163498;161740;160000;158502;155660;152996;150928;148125;144860;142459;140390;137051;134090;131564;130602
66;30.382;32.698;35.764;37.887;39.442;39.076;37.522;37.112;37.414;38.212;39.153;40.157;41.672;44.040;46.274;48.116;50.279;52.248;53.631;54.869;55.609;56.775;60.719;64.922;66.728;68.637;72.197;76.616;79.330;81.120;83.849;87.600;92.556;97.265;101.067;103.829;105.815;107.972;109.846;110.750;111.400;111.888;111.685;111.040;111.652;113.785;117.084;120.526;121.392;119.488;117.371;115.802;116.196;119.833;125.825;131.733;134.406;134.075;133.419;134959;138455;144006;151212;158192;162278;162353;160626;158916;157444;154637;152007;149968;147198;143968;141596;139553;136247;133316;130817
67;29.032;29.589;31.843;34.780;36.881;38.480;38.161;36.663;36.284;36.590;37.354;38.282;39.294;40.809;43.178;45.345;47.143;49.338;51.291;52.666;53.878;54.619;55.745;59.651;63.917;65.797;67.722;71.241;75.444;77.950;79.789;82.646;86.416;91.319;96.012;99.791;102.546;104.535;106.696;108.573;109.486;110.148;110.648;110.466;109.847;110.470;112.597;115.879;119.305;120.183;118.319;116.243;114.709;115.116;118.737;124.691;130.562;133.230;132.922;132289;133834;137318;142840;150004;156946;161018;161112;159417;157738;156295;153526;150932;148924;146189;142997;140655;138640;135369;132471
68;27.248;28.148;28.671;30.900;33.768;35.831;37.473;37.203;35.737;35.402;35.726;36.439;37.386;38.423;39.922;42.227;44.308;46.132;48.334;50.279;51.657;52.839;53.562;54.670;58.568;62.909;64.829;66.750;70.109;74.047;76.573;78.554;81.415;85.150;90.029;94.682;98.437;101.185;103.180;105.340;107.213;108.135;108.809;109.324;109.164;108.572;109.207;111.329;114.594;118.003;118.893;117.070;115.037;113.539;113.962;117.565;123.477;129.309;131.971;131685;131078;132627;136097;141588;148708;155607;159664;159777;158115;156469;155057;152328;149771;147796;145098;141945;139636;137650;134417
69;25.276;26.403;27.283;27.795;29.965;32.765;34.788;36.420;36.196;34.759;34.455;34.832;35.544;36.467;37.512;38.971;41.226;43.269;45.065;47.270;49.181;50.552;51.738;52.433;53.546;57.475;61.858;63.774;65.483;68.668;72.620;75.230;77.277;80.130;83.841;88.672;93.285;97.016;99.756;101.751;103.903;105.773;106.704;107.391;107.920;107.784;107.220;107.869;109.987;113.234;116.623;117.525;115.746;113.757;112.297;112.735;116.317;122.185;127.975;130629;130367;129786;131339;134795;140252;147322;154177;158217;158349;156722;155111;153730;151043;148526;146584;143925;140815;138540;136584
70;23.678;24.400;25.510;26.346;26.802;28.953;31.704;33.688;35.356;35.146;33.729;33.487;33.865;34.574;35.500;36.540;38.002;40.230;42.195;43.983;46.165;48.016;49.355;50.536;51.263;52.405;56.381;60.745;62.458;63.973;67.211;71.271;73.897;75.936;78.786;82.465;87.247;91.816;95.522;98.250;100.239;102.382;104.247;105.187;105.888;106.432;106.320;105.787;106.450;108.562;111.790;115.159;116.073;114.338;112.396;110.974;111.428;114.988;120.808;126553;129199;128960;128407;129963;133402;138822;145839;152644;156665;156817;155227;153652;152304;149661;147186;145279;142661;139595;137356
71;22.156;22.785;23.484;24.535;25.349;25.826;27.917;30.594;32.587;34.246;34.038;32.662;32.428;32.821;33.537;34.498;35.535;36.991;39.170;41.050;42.868;45.027;46.835;48.175;49.370;50.101;51.211;55.186;59.391;60.925;62.489;65.833;69.909;72.508;74.541;77.369;81.013;85.743;90.268;93.942;96.649;98.630;100.763;102.623;103.574;104.288;104.848;104.762;104.261;104.939;107.045;110.251;113.597;114.523;112.836;110.942;109.561;110.030;113.565;119334;125030;127665;127452;126926;128485;131906;137285;144245;150997;154996;155169;153617;152079;150766;148169;145738;143869;141295;138275
72;20.242;21.191;21.833;22.494;23.497;24.338;24.830;26.825;29.451;31.399;33.006;32.847;31.521;31.324;31.770;32.476;33.436;34.464;35.903;38.113;39.915;41.649;43.804;45.590;46.930;48.127;48.822;49.896;53.742;57.783;59.386;61.103;64.417;68.427;71.042;73.067;75.872;79.480;84.156;88.629;92.261;94.945;96.917;99.039;100.893;101.854;102.582;103.159;103.101;102.634;103.327;105.426;108.607;111.928;112.865;111.227;109.384;108.046;108.531;112039;117752;123394;126018;125831;125334;126895;130294;135629;142526;149220;153195;153389;151878;150379;149102;146555;144170;142340;139812
73;18.422;19.284;20.215;20.872;21.506;22.484;23.314;23.770;25.707;28.261;30.191;31.806;31.622;30.308;30.232;30.717;31.376;32.359;33.354;34.765;36.978;38.696;40.396;42.556;44.322;45.655;46.859;47.531;48.398;52.034;56.127;57.912;59.698;62.959;66.900;69.491;71.508;74.289;77.859;82.471;86.880;90.468;93.127;95.088;97.198;99.046;100.016;100.760;101.355;101.325;100.894;101.602;103.691;106.846;110.139;111.087;109.501;107.712;106.418;106919;110398;116050;121634;124244;124083;123616;125178;128554;133840;140669;147299;151247;151462;149994;148537;147298;144803;142468;140679
74;17.504;17.478;18.302;19.222;19.888;20.491;21.443;22.275;22.714;24.601;27.050;28.923;30.535;30.387;29.147;29.055;29.560;30.268;31.234;32.212;33.593;35.748;37.410;39.073;41.289;43.053;44.328;45.532;46.030;46.641;50.274;54.566;56.412;58.158;61.400;65.280;67.846;69.853;72.609;76.132;80.668;85.008;88.547;91.179;93.129;95.226;97.066;98.047;98.805;99.418;99.419;99.024;99.747;101.825;104.951;108.213;109.173;107.641;105.908;104661;105178;108624;114210;119729;122323;122190;121755;123318;126667;131899;138654;145214;149131;149369;147946;146534;145335;142896;140613
75;16.591;16.497;16.476;17.266;18.143;18.856;19.456;20.396;21.218;21.628;23.470;25.814;27.624;29.215;29.079;27.872;27.843;28.412;29.054;30.026;31.023;32.375;34.492;36.070;37.711;39.927;41.687;42.963;43.978;44.269;44.867;48.609;52.970;54.812;56.552;59.743;63.557;66.095;68.092;70.814;74.278;78.733;82.999;86.485;89.088;91.026;93.107;94.938;95.930;96.704;97.335;97.367;97.010;97.747;99.813;102.906;106.134;107.104;105.630;103957;102759;103293;106702;112216;117665;120241;120137;119735;121298;124617;129790;136463;142946;146829;147091;145716;144350;143194;140814
76;15.278;15.555;15.485;15.513;16.252;17.104;17.823;18.390;19.316;20.175;20.568;22.275;24.519;26.292;27.863;27.756;26.603;26.613;27.175;27.814;28.763;29.737;31.116;33.178;34.711;36.347;38.547;40.305;41.350;42.124;42.483;43.264;47.037;51.300;53.114;54.841;57.975;61.718;64.227;66.205;68.882;72.282;76.648;80.833;84.262;86.831;88.755;90.819;92.639;93.642;94.431;95.081;95.145;94.829;95.581;97.631;100.687;103.877;104.857;103444;101836;100691;101241;104610;110044;115416;117971;117897;117531;119092;122378;127486;134068;140465;144310;144596;143272;141957;140847
77;14.082;14.267;14.561;14.506;14.542;15.261;16.085;16.749;17.308;18.225;19.052;19.438;21.063;23.189;24.981;26.477;26.348;25.311;25.317;25.891;26.530;27.480;28.444;29.808;31.823;33.288;34.944;37.141;38.695;39.518;40.258;40.746;41.589;45.304;49.523;51.316;53.027;56.101;59.769;62.237;64.185;66.812;70.143;74.414;78.512;81.877;84.410;86.316;88.360;90.168;91.181;91.986;92.654;92.751;92.477;93.243;95.275;98.291;101.438;102427;101079;99539;98449;99016;102341;107686;112973;115504;115462;115133;116691;119940;124975;131457;137761;141562;141873;140604;139343
78;13.087;13.080;13.280;13.582;13.524;13.557;14.245;15.009;15.685;16.271;17.111;17.879;18.291;19.881;21.888;23.629;25.124;25.017;23.941;23.959;24.602;25.227;26.164;27.127;28.484;30.474;31.910;33.515;35.532;36.874;37.657;38.520;39.053;39.886;43.552;47.649;49.417;51.110;54.120;57.698;60.114;62.029;64.600;67.855;72.022;76.026;79.323;81.815;83.702;85.723;87.515;88.536;89.355;90.041;90.172;89.941;90.721;92.733;95.703;98802;99801;98521;97052;96021;96605;99879;105127;110321;112825;112815;112524;114078;117285;122239;128611;134811;138563;138900;137690
79;11.581;12.075;12.060;12.260;12.541;12.531;12.592;13.196;13.948;14.642;15.235;16.047;16.705;17.056;18.631;20.554;22.260;23.768;23.614;22.573;22.641;23.272;23.906;24.852;25.784;27.092;29.070;30.421;31.853;33.717;34.973;35.824;36.753;37.310;38.168;41.718;45.687;47.428;49.100;52.032;55.506;57.864;59.742;62.254;65.427;69.482;73.383;76.605;79.053;80.916;82.911;84.685;85.713;86.545;87.248;87.413;87.226;88.018;90.007;92926;95972;96978;95769;94375;93406;94006;97224;102366;107456;109929;109952;109702;111249;114408;119274;125525;131610;135307;135670
80;10.122;10.563;11.029;11.024;11.202;11.544;11.571;11.576;12.162;12.913;13.598;14.163;14.881;15.518;15.916;17.355;19.138;20.888;22.307;22.120;21.174;21.296;21.946;22.555;23.502;24.419;25.681;27.600;28.764;29.992;31.786;33.154;34.073;34.946;35.550;36.408;39.837;43.670;45.382;47.022;49.862;53.224;55.520;57.357;59.805;62.890;66.826;70.617;73.758;76.155;77.992;79.955;81.706;82.738;83.580;84.299;84.497;84.353;85.156;87117;89980;92965;93976;92841;91524;90617;91232;94387;99412;104390;106826;106882;106672;108209;111314;116081;122199;128158;131793
81;9.139;9.206;9.612;10.036;10.035;10.216;10.544;10.577;10.604;11.143;11.824;12.494;13.064;13.768;14.377;14.722;16.085;17.760;19.419;20.822;20.691;19.819;19.926;20.580;21.199;22.114;23.029;24.280;25.998;26.922;28.074;29.969;31.407;32.281;33.143;33.756;34.611;37.914;41.608;43.277;44.873;47.616;50.861;53.089;54.881;57.259;60.249;64.059;67.733;70.786;73.127;74.932;76.859;78.583;79.616;80.467;81.198;81.427;81.326;82137;84065;86865;89784;90796;89735;88497;87653;88281;91367;96265;101119;103513;103602;103431;104954;107999;112657;118629;124449
82;7.852;8.220;8.309;8.680;9.057;9.043;9.239;9.558;9.616;9.681;10.182;10.838;11.438;11.946;12.636;13.179;13.545;14.888;16.381;17.984;19.358;19.183;18.358;18.505;19.188;19.811;20.725;21.611;22.678;24.206;25.000;26.198;28.179;29.566;30.454;31.308;31.927;32.777;35.949;39.489;41.105;42.653;45.293;48.413;50.569;52.313;54.616;57.506;61.181;64.731;67.689;69.968;71.737;73.624;75.316;76.347;77.203;77.945;78.204;78145;78962;80853;83584;86430;87442;86456;85298;84519;85158;88169;92930;97650;99997;100117;99986;101492;104470;109010;114824
83;6.565;6.957;7.301;7.427;7.734;8.088;8.104;8.274;8.588;8.689;8.747;9.188;9.802;10.408;10.905;11.517;12.014;12.402;13.628;15.002;16.556;17.835;17.688;16.933;17.118;17.805;18.398;19.344;20.080;20.926;22.374;23.240;24.496;26.399;27.724;28.597;29.440;30.062;30.904;33.931;37.303;38.861;40.357;42.889;45.879;47.957;49.648;51.870;54.653;58.185;61.602;64.459;66.671;68.399;70.240;71.897;72.922;73.782;74.531;74818;74800;75621;77470;80125;82893;83901;82991;81915;81202;81850;84778;89392;93968;96263;96413;96321;97806;100710;105123
84;5.577;5.759;6.133;6.463;6.597;6.874;7.186;7.167;7.335;7.687;7.777;7.851;8.252;8.796;9.404;9.859;10.389;10.895;11.265;12.385;13.624;15.128;16.407;16.269;15.544;15.730;16.416;17.009;17.839;18.425;19.187;20.647;21.548;22.737;24.586;25.859;26.714;27.543;28.166;28.989;31.860;35.056;36.552;37.993;40.410;43.262;45.258;46.890;49.027;51.696;55.076;58.352;61.100;63.239;64.920;66.710;68.326;69.343;70.202;70956;71269;71292;72113;73915;76488;79169;80171;79338;78346;77699;78354;81192;85646;90068;92304;92484;92431;93891;96713
85;4.670;4.851;5.033;5.379;5.669;5.777;5.999;6.272;6.278;6.447;6.803;6.916;6.980;7.355;7.849;8.351;8.779;9.303;9.727;10.143;11.223;12.305;13.720;14.919;14.813;14.162;14.347;15.041;15.514;16.189;16.696;17.537;19.067;19.909;21.017;22.764;23.983;24.816;25.628;26.241;27.035;29.743;32.758;34.187;35.568;37.865;40.572;42.480;44.049;46.093;48.641;51.862;54.988;57.620;59.680;61.309;63.043;64.613;65.617;66472;67227;67565;67626;68444;70193;72677;75264;76255;75501;74594;74014;74673;77413;81696;85950;88121;88330;88315;89745
86;3.698;4.006;4.166;4.337;4.623;4.871;4.978;5.164;5.444;5.488;5.659;5.971;6.060;6.136;6.489;6.899;7.365;7.800;8.222;8.613;9.038;10.052;11.054;12.404;13.516;13.385;12.774;12.990;13.613;13.951;14.512;15.067;16.004;17.443;18.246;19.299;20.942;22.102;22.909;23.693;24.287;25.050;27.588;30.415;31.774;33.090;35.261;37.817;39.632;41.132;43.079;45.499;48.552;51.520;54.028;56.003;57.574;59.246;60.764;61751;62598;63351;63709;63807;64618;66309;68695;71181;72158;71483;70661;70147;70807;73441;77541;81617;83716;83950;83972
87;2.875;3.083;3.392;3.564;3.710;3.953;4.143;4.221;4.398;4.696;4.753;4.892;5.142;5.256;5.365;5.647;6.040;6.508;6.835;7.222;7.624;7.998;8.928;9.820;11.109;12.173;12.018;11.393;11.554;12.118;12.366;12.982;13.621;14.483;15.827;16.590;17.584;19.118;20.217;20.989;21.734;22.305;23.033;25.397;28.030;29.314;30.560;32.599;34.998;36.713;38.140;39.983;42.268;45.144;47.945;50.322;52.204;53.712;55.315;56776;57741;58576;59322;59699;59830;60631;62258;64538;66914;67872;67276;66540;66092;66751;69270;73175;77059;79078;79337
88;2.378;2.436;2.605;2.864;3.020;3.121;3.304;3.452;3.535;3.733;4.027;4.094;4.179;4.382;4.525;4.606;4.854;5.248;5.645;5.902;6.254;6.626;6.983;7.817;8.614;9.848;10.844;10.732;10.060;10.064;10.546;10.864;11.608;12.218;12.995;14.233;14.953;15.885;17.308;18.335;19.061;19.765;20.310;21.000;23.184;25.619;26.824;27.996;29.898;32.133;33.743;35.091;36.824;38.967;41.659;44.285;46.523;48.305;49.744;51272;52669;53608;54425;55160;55552;55714;56500;58056;60223;62480;63416;62898;62247;61865;62517;64913;68610;72290;74223
