Total;13.770.793;13.991.127;14.206.429;14.414.046;14.613.776;14.809.841;15.001.623;15.185.799;15.365.623;15.543.565;15.715.924;15.882.092;16.041.612;16.198.348;16.356.738;16.516.863;16.682.228;16.855.484;17.030.393;17.204.567;17.380.597;17.559.507;17.749.360;17.954.875;18.190.964;18.460.529;18.754.494;19.040.037;19.235.540;19.391.613;19.581.575;19.756.365;19.904.328;20.036.669;20.150.948;20.252.145;20.342.246;20.421.403;20.489.812;20.546.653;20.590.711;20.621.533;20.639.005;20.643.490;20.635.825;20.617.132;20.588.655;20.551.753;20.508.117;20.459.180;20.405.521;20.347.272;20.284.551;20.217.414;20.145.968;20.070.235;19.990.194;19.905.775;19.816.858;19.723.225;19.624.629;19.520.801;19.411.448;19.296.388;19.175.470;19.048.653;18.916.047;18.777.806;18.634.210;18.485.577;18.332.247;18.174.541;18.012.787;17.847.299;17.678.364;17.506.235;17.331.111;17.153.173;16.972.558
17;252.274;244.404;237.842;236.148;241.650;252.113;262.443;265.593;261.522;256.650;256.843;261.398;270.473;283.144;295.560;301.584;298.961;293.181;288.002;284.005;277.680;271.640;267.053;262.406;257.708;254.657;254.207;250.928;245.779;242.448;242.833;245.509;251.654;260.537;268.118;271.942;271.208;269.101;267.719;272.353;274.354;265.072;251.818;245.508;239.201;223.920;206.134;201.633;197.908;179.112;161.823;150.559;144.047;139.670;135.584;131.767;128.209;124.899;121.848;119.090;116.790;115.103;113.988;113.229;112.612;112.115;111.717;111.417;111.217;111.108;111.060;111.050;111.029;110.935;110.684;110.190;109.362;108.147;106.509
18;259.327;252.108;244.234;237.689;236.027;241.576;252.088;262.433;265.586;261.516;256.674;256.905;261.451;270.516;283.197;295.614;301.635;299.034;293.310;288.191;284.328;278.163;272.285;268.040;264.272;260.604;258.258;257.804;253.148;247.924;245.523;245.356;247.674;253.904;262.637;270.062;273.733;272.850;270.598;269.076;273.556;275.392;265.944;252.528;246.062;239.616;224.220;206.350;201.798;198.052;179.251;161.956;150.685;144.168;139.783;135.690;131.869;128.306;124.991;121.935;119.172;116.870;115.180;114.063;113.302;112.683;112.186;111.787;111.486;111.286;111.178;111.130;111.120;111.099;111.005;110.756;110.262;109.434;108.220
19;260.005;259.103;251.917;244.066;237.531;235.926;241.537;252.071;262.419;265.592;261.552;256.740;256.966;261.489;270.573;283.275;295.680;301.723;299.218;293.585;288.619;284.953;278.997;273.525;270.327;267.781;264.898;262.480;260.361;255.551;251.386;248.344;247.751;250.173;256.248;264.818;272.081;275.593;274.554;272.144;270.447;274.737;276.379;266.744;253.150;246.524;239.943;224.449;206.524;201.949;198.193;179.387;162.087;150.809;144.285;139.893;135.794;131.966;128.398;125.079;122.019;119.252;116.947;115.254;114.135;113.372;112.753;112.255;111.855;111.555;111.356;111.249;111.201;111.191;111.170;111.077;110.828;110.334;109.507
20;254.511;259.690;258.813;251.674;243.848;237.368;235.840;241.479;252.023;262.389;265.595;261.582;256.769;257.003;261.553;270.652;283.329;295.757;301.905;299.490;294.033;289.293;285.879;280.370;276.023;274.127;272.395;269.392;265.184;262.887;259.154;254.281;250.772;250.297;252.570;258.483;266.891;273.992;277.346;276.140;273.545;271.649;275.731;277.168;267.345;253.585;246.817;240.130;224.577;206.632;202.046;198.280;179.470;162.166;150.882;144.351;139.953;135.848;132.015;128.442;125.119;122.055;119.285;116.977;115.282;114.161;113.398;112.778;112.280;111.881;111.581;111.383;111.276;111.228;111.218;111.198;111.106;110.858;110.364
21;248.580;254.151;259.356;258.503;251.390;243.631;237.234;235.751;241.403;251.956;262.344;265.578;261.586;256.787;257.028;261.591;270.687;283.390;295.928;302.190;299.969;294.779;290.326;287.398;283.099;280.133;279.065;277.149;272.224;267.791;266.590;262.112;256.752;253.356;252.726;254.843;260.598;268.848;275.790;278.967;277.565;274.761;272.650;276.515;277.749;267.749;253.843;246.962;240.211;224.636;206.686;202.090;198.314;179.501;162.192;150.904;144.367;139.963;135.852;132.014;128.436;125.110;122.044;119.272;116.962;115.265;114.143;113.379;112.760;112.263;111.864;111.565;111.367;111.261;111.214;111.204;111.184;111.093;110.845
22;245.341;248.204;253.790;259.006;258.165;251.123;243.464;237.108;235.642;241.316;251.894;262.299;265.542;261.589;256.814;257.062;261.625;270.767;283.595;296.230;302.716;300.797;295.900;291.989;290.399;287.554;285.398;284.080;280.093;274.887;271.560;269.552;264.555;259.332;255.803;255.026;256.993;262.599;270.690;277.449;280.420;278.797;275.768;273.435;277.087;278.132;267.977;253.956;247.009;240.231;224.650;206.695;202.090;198.305;179.489;162.178;150.885;144.342;139.933;135.817;131.974;128.393;125.064;121.995;119.222;116.910;115.212;114.090;113.326;112.708;112.212;111.814;111.515;111.317;111.212;111.166;111.157;111.137;111.046
23;246.308;244.952;247.843;253.417;258.627;257.851;250.919;243.300;236.965;235.531;241.232;251.839;262.247;265.508;261.596;256.849;257.104;261.715;270.974;283.929;296.812;303.618;302.046;297.728;295.213;295.151;293.146;290.675;287.144;282.816;278.736;274.557;271.999;267.155;261.803;258.136;257.217;259.042;264.495;272.397;278.939;281.680;279.824;276.565;274.014;277.467;278.346;268.073;253.986;247.011;240.222;224.635;206.677;202.062;198.269;179.451;162.138;150.841;144.294;139.880;135.761;131.914;128.330;124.998;121.927;119.154;116.842;115.143;114.021;113.258;112.640;112.144;111.747;111.449;111.252;111.148;111.102;111.093;111.074
24;249.965;245.930;244.588;247.507;253.090;258.333;257.628;250.741;243.146;236.860;235.463;241.196;251.836;262.259;265.538;261.645;256.915;257.224;261.974;271.379;284.582;297.804;304.985;304.006;301.129;300.201;300.971;298.591;293.795;289.869;286.677;281.743;277.009;274.597;269.631;264.151;260.349;259.298;260.978;266.241;273.922;280.228;282.729;280.638;277.157;274.406;277.688;278.440;268.099;253.989;247.003;240.203;224.612;206.650;202.027;198.225;179.408;162.093;150.793;144.242;139.823;135.701;131.851;128.265;124.932;121.860;119.087;116.775;115.076;113.955;113.194;112.577;112.081;111.684;111.387;111.191;111.088;111.042;111.034
25;252.458;249.615;245.589;244.274;247.208;252.819;258.117;257.451;250.591;243.030;236.781;235.419;241.179;251.839;262.295;265.597;261.725;257.074;257.530;262.425;272.097;285.657;299.266;307.052;307.558;306.303;306.194;306.554;301.794;296.576;293.788;289.729;284.230;279.652;277.122;272.031;266.419;262.492;261.298;262.787;267.827;275.267;281.326;283.585;281.268;277.584;274.664;277.817;278.492;268.126;254.009;247.013;240.205;224.608;206.644;202.014;198.204;179.386;162.071;150.769;144.216;139.794;135.668;131.817;128.229;124.896;121.824;119.050;116.739;115.042;113.921;113.160;112.545;112.050;111.654;111.357;111.161;111.059;111.015
26;253.627;252.084;249.263;245.279;243.986;246.962;252.628;257.942;257.301;250.465;242.948;236.772;235.428;241.201;251.899;262.398;265.719;261.906;257.403;258.017;263.185;273.194;287.138;301.365;310.659;312.787;312.322;311.798;309.764;304.534;300.453;296.852;292.266;286.914;282.206;279.553;274.333;268.599;264.532;263.150;264.417;269.218;276.410;282.226;284.256;281.737;277.884;274.838;277.913;278.556;268.181;254.058;247.054;240.237;224.638;206.671;202.035;198.219;179.402;162.087;150.785;144.229;139.804;135.677;131.825;128.236;124.902;121.831;119.058;116.750;115.053;113.933;113.173;112.559;112.065;111.669;111.373;111.178;111.076
